ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,"Seitenplattform 1x1","-"
Tobbert.HorizontalPlatformEnd1x1.Description,"Eine Plattform, die an der Seite von Klippen und den meisten Gebäuden platziert werden kann.","-"
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Stell dir vor, du könntest diese auf sich selbst stapeln.","-"
Tobbert.HorizontalPlatformEnd2x1.DisplayName,"Seitenplattform 2x1","-"
Tobbert.HorizontalPlatformEnd2x1.Description,"Eine Plattform, die an der Seite von Klippen und den meisten Gebäuden platziert werden kann.","-"
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Doppelte Plattformen, doppelter Spaß!","-"
Tobbert.HorizontalPlatformEnd3x1.DisplayName,"Seitenplattform 3x1","-"
Tobbert.HorizontalPlatformEnd3x1.Description,"Eine Plattform, die an der Seite von Klippen und den meisten Gebäuden platziert werden kann.","-"
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"Das ist für die laaaaaaangen Jungs.","-"
Tobbert.HorizontalPlatformEnd4x1.DisplayName,"Seitenplattform 4x1","-"
Tobbert.HorizontalPlatformEnd4x1.Description,"Eine Plattform, die an der Seite von Klippen und den meisten Gebäuden platziert werden kann.","-"
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"So funktioniert Physik nicht.","-"
Tobbert.ReinforcedPlatform.DisplayName,"Verstärkte Plattform","-"
Tobbert.ReinforcedPlatform.Description,"Eine Plattform, die in Kombination mit den Seitenplattformen verwendet werden kann. Dient als schönere Alternative zu Deichen.","-"
Tobbert.ReinforcedPlatform.FlavorDescription,"Stapel sie bis zur Spitze!","-"
Tobbert.DoubleReinforcedPlatform.DisplayName,"Doppelt verstärkte Plattform","-"
Tobbert.DoubleReinforcedPlatform.Description,"Eine Plattform, die in Kombination mit den Seitenplattformen verwendet werden kann. Dient als schönere Alternative zu Deichen.","-"
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Stapel, stapel sie bis zur Spitze!","-"
Tobbert.TripleReinforcedPlatform.DisplayName,"Dreifach verstärkte Plattform","-"
Tobbert.TripleReinforcedPlatform.Description,"Eine Plattform, die in Kombination mit den Seitenplattformen verwendet werden kann. Dient als schönere Alternative zu Deichen.","-"
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Stapel, stapel, stapel sie bis zur Spitze!","-"
Tobbert.CategoryReinforcedPlatforms.DisplayName,"Verstärkte Plattformen","-"
Tobbert.CategorySidePlatforms.DisplayName,"Seitenplattformen","-"
